date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:24%20GMT	https://sophiehustin.com/?p=270	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index5295.html	(from https://sophiehustin.com/peintures/traversee)
12:43:24	194126/194126	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Sep%202017%2013:04:21%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/travers%c3%a9e-73x92.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/travers%c3%a9e-73x92.jpg	(from https://sophiehustin.com/peintures/traversee)
12:43:24	23489/23489	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:24%20GMT	https://sophiehustin.com/peintures/fourmiliere	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/fourmiliere.html	(from https://sophiehustin.com/peintures/traversee)
12:43:25	233791/233791	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2009:02:49%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/suspendu-bronze-.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/suspendu-bronze-.jpg	(from https://sophiehustin.com/sculptures/suspendu)
12:43:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:25%20GMT	https://sophiehustin.com/?p=399	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index0945.html	(from https://sophiehustin.com/sculptures/suspendu)
12:43:25	23773/23773	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:25%20GMT	https://sophiehustin.com/sculptures/recherche	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/sculptures/recherche.html	(from https://sophiehustin.com/sculptures/suspendu)
12:43:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:26%20GMT	https://sophiehustin.com/?p=267	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index3786.html	(from https://sophiehustin.com/peintures/fourmiliere)
12:43:26	23469/23469	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:26%20GMT	https://sophiehustin.com/peintures/pions	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/pions.html	(from https://sophiehustin.com/peintures/fourmiliere)
12:43:26	642423/642423	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Sep%202017%2012:59:23%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/17-Fourmili%c3%a8re-80X80.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/17-Fourmili%c3%a8re-80X80.jpg	(from https://sophiehustin.com/peintures/fourmiliere)
12:43:26	107647/107647	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2009:01:33%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/RECHERCHE-300dpi-H50xL42xP12.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/RECHERCHE-300dpi-H50xL42xP12.jpg	(from https://sophiehustin.com/sculptures/recherche)
